Dimerization,ZL
0.0,0.4381266876048768
0.05,0.4067755594211732
0.1,0.3382931710426359
0.15,0.2763880713010937
0.2,0.1539150545985634
0.25,0.1118808883562118
0.3,0.02468815866297486
0.35,-0.08753569380508443
0.4,-0.1656455099506758
0.45,-0.2228425700599376
0.5,-0.2953652006315544
0.55,-0.2492011105051817
0.6,-0.1190980830629699
0.65,-0.0035501364964768615
0.7,0.1333339811278171
0.75,0.2408712059387527
0.8,0.3266758374814259
0.85,0.3959446547980912
0.9,0.4525577494680023
0.95,0.4989001701425355
1.0,0.5368248812464691
