Dimerization,O^z,error,N
0.0,-0.2516458609086655,0.0,1000.0
0.05,-0.2501178510289953,0.0,1000.0
0.1,-0.2529348592206425,0.0,1000.0
0.15,-0.25555088622558,0.0,1000.0
0.2,-0.2579683256660335,0.0,1000.0
0.25,-0.25939735760487403,0.0,1000.0
0.3,-0.25730778534721127,0.0,1000.0
0.35,-0.25257978023010563,0.0,1000.0
0.4,-0.2395986011552105,0.0,1000.0
0.45,-0.2209345115091149,0.0,1000.0
0.5,-0.19169192736637042,0.0,1000.0
0.55,-0.1554793963875808,0.0,1000.0
0.6,-0.11488931207721023,0.0,1000.0
0.65,-0.07495463648916116,0.0,1000.0
0.7,-0.0411023368155044,0.0,1000.0
