x2-x1,corr
64,-5.311707717904471e-08
64,-1.3209218824649584e-07
64,-1.135031493297171e-07
64,-7.186113836558856e-07
64,-6.486445102143069e-07
64,-2.274669781138217e-07
64,-2.514477424664296e-07
64,-6.354604444216947e-07
64,-6.119869856023176e-07
64,-1.700402438649159e-06
64,-1.2556309753273798e-06
64,-6.285156209605274e-07
64,-6.347871409331965e-07
64,-6.47665108688487e-07
64,-6.572910723285258e-07
64,1.8669211704161594e-07
64,3.2441344985120744e-07
64,2.2932877514848994e-07
64,2.4838424093210537e-07
64,2.1385794951120802e-06
64,6.8728278986279215e-06
64,-2.147851900749286e-06
64,-1.8355009925462463e-06
64,-3.401688423083252e-05
64,-3.805991518522167e-05
64,-7.0962824517608585e-06
64,-1.0098718638528418e-05
64,-2.2723476886503342e-05
64,-2.462792304012139e-05
64,-2.3381557773204966e-07
64,4.2897695460214074e-08
64,1.6394005818428046e-07
64,-1.8582830353765668e-07
64,4.982159008828035e-07
64,5.008065284752308e-07
64,3.207427427386527e-07
64,3.26724764079295e-07
64,-7.891967815792249e-10
64,-1.1779158148818602e-08
64,-1.7494897514548998e-07
64,-1.452058073486255e-07
64,-3.1875175962937787e-07
64,-2.171167679020093e-07
64,-1.5694981377440384e-07
64,-4.809788024125186e-07
64,-7.335861778430396e-07
64,-6.123958629823769e-07
64,-1.2291660202674493e-07
64,-1.0312735923151561e-07
64,-1.1422483488287279e-07
64,-5.276017060954884e-08
64,-1.0594347532143909e-07
64,-1.7847389788932462e-07
64,-7.072227767144815e-08
64,-5.8074107306329094e-08
64,-3.267566749765644e-07
64,-3.5730277695886265e-07
64,-1.2187786263072387e-07
64,-1.6076145084188946e-07
64,1.2101035540131507e-06
64,9.260860424295085e-07
64,1.4068958414645104e-07
64,-5.748498184488682e-09
64,1.725733057473258e-07
