Jdis,ZL,error,N
0.7,-0.09484219626852868,0.001807229122068886,1000.0
0.75,-0.09044353159675284,0.0019001269388224423,1000.0
0.8,-0.08780071213876649,0.0020057024733762833,1000.0
0.85,-0.08342733674250787,0.00209682252124398,1000.0
0.9,-0.08066250280475573,0.0021064550529632416,1000.0
0.95,-0.0764177437094315,0.002204802339870812,1000.0
1.0,-0.07475814088610655,0.0022254132198772643,1000.0
1.1,-0.06675844478093267,0.0023884816957991358,1000.0
1.2,-0.06199252878613334,0.002410049704508706,1000.0
1.3,-0.056062786298066714,0.0025164929488113875,1000.0
1.4,-0.05016683189266605,0.0025560487038084317,1000.0
1.5,-0.04482630332919311,0.002534696884643554,1000.0
