Dimerization,ZL
0.0,-0.8108897232277015
0.05,-0.795832110355057
0.1,-0.7821437832790329
0.15,-0.7318151442117482
0.2,-0.5791340986784009
0.25,-0.2054529726579018
0.3,0.2099303584279174
0.35,0.4541790520718263
0.4,0.5350742441464854
0.45,0.6093605295236822
0.5,0.657396147620049
0.55,0.6909942339770148
0.6,0.7196177945965316
0.65,0.7394658598051177
0.7,0.7565795734523287
0.75,0.7705456909639491
0.8,0.7821656912397371
0.85,0.7920358539093306
0.9,0.8003883958365384
0.95,0.8075057336821951
1.0,0.8136043734008883
