x1,x2,corr
0,32,0.08356997225789067
1,33,0.0469055712792216
2,34,0.04547204061910873
3,35,0.04693088434606425
4,36,0.04762308451346719
5,37,0.04324226169803329
6,38,0.04313355165458101
7,39,0.05334636848757712
8,40,0.05305794225678466
9,41,0.05096342379508734
10,42,0.05109452201440919
11,43,0.03913337570074415
12,44,0.03912557730413922
13,45,0.04122839521167734
14,46,0.04071595500524499
15,47,0.04008637137494123
16,48,0.04144084274220253
17,49,0.06342887967979588
18,50,0.06251443502387631
19,51,0.06553479069358585
20,52,0.06453885283676145
21,53,0.05379356511346286
22,54,0.05374506002868508
23,55,0.04247277659486606
24,56,0.04311110134663954
25,57,0.04839654115639709
26,58,0.04788268546008551
27,59,0.05732604674681994
28,60,0.05863396398940399
29,61,0.06705245663485812
30,62,0.06691192460751477
31,63,0.08258471129434156
