Jdis,ZL,error,N
0.1,-0.4755415943391074,0.002118872282880031,1000.0
0.2,-0.4526093886145416,0.003667985198365741,1000.0
0.3,-0.42051790352689983,0.005029074702373346,1000.0
0.4,-0.38575427151307806,0.00609793993793544,1000.0
0.5,-0.3488266108112802,0.0068951855887705756,1000.0
0.6,-0.31339989072499935,0.00745069798698309,1000.0
0.7,-0.2831250348755346,0.007783496620164804,1000.0
0.8,-0.2531521534398939,0.008004939775232556,1000.0
0.9,-0.22445767559071744,0.00811182118173174,1000.0
1.0,-0.20038045315213182,0.008228409265468199,1000.0
1.1,-0.17577902269282333,0.008240100764658444,1000.0
1.2,-0.1540531019618276,0.00831157892745492,1000.0
1.5,-0.10131607214177962,0.008248138854366172,1000.0
1.8,-0.06305800361156347,0.008120917140594118,1000.0
