Jdis,O^z,error,N
0.7,-0.2688153203570933,0.0007189801412349699,1000.0
0.75,-0.25939735760487403,0.0007546135858851605,1000.0
0.8,-0.25161032854788173,0.0007872284819512303,1000.0
0.85,-0.2444977288817181,0.0008171481304981298,1000.0
0.9,-0.2351212888251908,0.0008374532373603047,1000.0
0.95,-0.2271932538837422,0.00085160845376621,1000.0
1.0,-0.21927122355560047,0.0008835175562049294,1000.0
1.1,-0.20475772434696035,0.0009103864251632536,1000.0
1.2,-0.18928585520890157,0.0009611602346097568,1000.0
1.3,-0.17461063805835902,0.0009813918540407204,1000.0
1.4,-0.16297334866424035,0.0009968034946505248,1000.0
1.5,-0.15116342250506082,0.000992989946575489,1000.0
