Jdis,O^z,error,N
0.1,0.3187973882468576,0.00023108381731796736,1000.0
0.2,0.3072869175896199,0.0003050388111539484,1000.0
0.3,0.2863455538549494,0.00041885124227230994,1000.0
0.4,0.25668343034395646,0.0005437191112323812,1000.0
0.5,0.2221868124724131,0.0006418342098683651,1000.0
0.6,0.1895209173015883,0.0006922012008271166,1000.0
0.7,0.15971081315451827,0.000700754539780368,1000.0
0.8,0.13088080571307212,0.0006935199605466449,1000.0
0.9,0.1096343259017994,0.000651176907855468,1000.0
1.0,0.08906347689415783,0.0006082870083093625,1000.0
1.1,0.07357030677486803,0.0005759633022157543,1000.0
1.2,0.06108664240835893,0.0005306292780878547,1000.0
1.5,0.03509258493996336,0.0004074205699895222,1000.0
1.8,0.022461009346540856,0.00033647800613563884,1000.0
