Dimerization,O^z,error,N
0.1,-0.07540178580361963,0.0007110528479174431,500.0
0.2,-0.07189747207955924,0.0006979739380824006,500.0
0.3,-0.061623463511854305,0.0006665685861483122,500.0
0.4,-0.05133888569635312,0.0006110294960909437,500.0
0.5,-0.03545845801014033,0.0005662629134722216,500.0
0.6,-0.018879772556916117,0.00041001162355163443,500.0
0.7,-0.007104472113895326,0.0002580511741284034,500.0
0.8,-0.001214000551885524,0.00011620586491850165,500.0
0.9,-5.320643505490656e-06,5.053969890405279e-05,500.0
1.0,3.466990703094403e-16,2.416412912057179e-15,500.0
