Jdis,O^z,error,N
0.7,-0.17786662202304726,0.0006374142148361911,1000.0
0.75,-0.16615453787113665,0.000634425126241009,1000.0
0.8,-0.15558989258782402,0.0006501761807920216,1000.0
0.85,-0.14622006684283978,0.000652713945294853,1000.0
0.9,-0.13525314900568625,0.000652770956891973,1000.0
0.95,-0.12815547254400467,0.0006463957646534548,1000.0
1.0,-0.12129767590897411,0.0006470518671095576,1000.0
1.1,-0.10661088708014009,0.0006428929063128477,1000.0
1.2,-0.09458330570203095,0.0006364476820665143,1000.0
1.3,-0.08388542040066811,0.0006277554685603201,1000.0
1.4,-0.07517712814843482,0.0006101328343158915,1000.0
1.5,-0.06864170914088295,0.0006168248421609402,1000.0
