Jdis,O^z,error,N
0.1,0.3144192442370537,0.00020474625777800595,1000.0
0.2,0.3040066126467069,0.00027237743688675087,1000.0
0.3,0.28238991842778804,0.0003783710906627786,1000.0
0.4,0.25192066436963656,0.0004913375589753611,1000.0
0.5,0.21728664454976943,0.0005668987128235989,1000.0
0.6,0.1796998470268576,0.0006096991689775391,1000.0
0.7,0.14431703669840043,0.0006153164717379001,1000.0
0.8,0.11394770772830143,0.0005958867736939421,1000.0
0.9,0.0899288582289565,0.0005531479631558329,1000.0
1.0,0.07210641160483441,0.0004974921475146401,1000.0
1.1,0.056700860515638246,0.00044709595105998766,1000.0
1.2,0.044186563723292674,0.0003972327988554886,1000.0
1.5,0.022713310914528592,0.00028178392858262076,1000.0
1.8,0.01323912381020682,0.0002239856535684393,1000.0
