Jdis,ZL,error,N
0.7,0.1500516279722133,0.0030159101136658538,1000.0
0.75,0.1428829257935346,0.0030722567140361707,1000.0
0.8,0.13659437136051236,0.003134530827943703,1000.0
0.85,0.13131493441973183,0.0031974546927226633,1000.0
0.95,0.11603926182936289,0.0048217194866148425,480.0
1.1,0.10297981204285866,0.0033521011366700456,1000.0
1.2,0.09309584910459827,0.0033013523932669624,1000.0
1.3,0.08649816118387016,0.003296828012058204,1000.0
1.4,0.07714691327782128,0.003281228095733375,1000.0
1.5,0.06975042553986426,0.0032976753611689016,1000.0
