Jdis,ZL,error,N
0.0,0.06418413492730063,0.0,1.0
0.5,0.13478033448901466,0.005630963444642735,500.0
1.0,0.06405570749899228,0.005759993344255895,500.0
1.5,0.027079717896169572,0.004672580991708472,500.0
2.0,0.017491913152461028,0.004124279231486992,500.0
2.5,0.011139101160394578,0.003606998433016466,500.0
3.0,0.009184428366322689,0.0034696617275897512,500.0
3.5,0.008561297209976055,0.003219534687800934,500.0
4.0,0.007921743162685787,0.003033315734268936,497.0
4.5,0.007783586796155087,0.003334776955591888,494.0
5.0,0.00805670881038707,0.003527479146132241,485.0
5.5,0.009310636048098788,0.0038083671438536616,479.0
6.0,0.009456593726406172,0.00371045441430433,475.0
