Dimerization,O^z
0.1,0.13315027531645982
0.12,0.12732385760170517
0.14,0.12067087539728642
0.16,0.11399114817581382
0.18,0.10834773441876638
0.2,0.09961294836966628
0.22,0.09250000628832726
0.24,0.08443138941681569
0.26,0.0760840400543704
0.28,0.06794422969868667
0.3,0.060552553637563226
0.32,0.052538535354541664
0.34,0.0458393162433473
0.36,0.03847887980713783
0.38,0.03282327717582565
0.4,0.027715122117443335
0.42,0.02288807977233759
0.44,0.018490748455863872
0.46,0.01483712673853299
0.48,0.012035747545684799
0.5,0.00980308408560174
0.52,0.007289799311026717
0.54,0.005613027687920482
0.56,0.004312238260123459
0.58,0.003279222576687051
0.6,0.002515562445140573
