Dimerization,ZL,error
0.0,0.5602006806869845,0.0
0.05,0.5704380472817785,0.0
0.1,0.6016659218044672,0.0
0.15,0.6505814698611757,0.0
0.2,0.7002162819945339,0.0
0.25,0.7450033123863348,0.0
0.3,0.7387525699910052,0.0
0.35,0.7748326456312616,0.0
0.4,0.7924973171450347,0.0
0.45,0.7958954361395563,0.0
0.5,0.8315110982046606,0.0
0.55,0.8424105647802986,0.0
0.6,0.8523132414531056,0.0
0.65,0.8684563995471429,0.0
0.7,0.8706195455517486,0.0
0.75,0.8785143909243026,0.0
0.8,0.8749817498944011,0.0
0.85,0.8907666285822676,0.0
0.9,0.8946089286797806,0.0
0.95,0.8988023083584251,0.0
1.0,0.902225248395416,0.0
