Dimerization,O^z,error,N
0.1,-0.015870140020567008,0.0005349126980000582,500.0
0.2,-0.015724251272641206,0.0005601279037583684,499.0
0.3,-0.012334548196200881,0.0005204480880197533,500.0
0.4,-0.011573474838041312,0.0004657570214716472,498.0
0.5,-0.010369134585558616,0.00046144442158483235,497.0
0.6,-0.007503713596328244,0.0004303334097340272,500.0
0.7,-0.0035754001053987625,0.00037799622936339266,500.0
0.8,-0.0014207667742082441,0.00031566165308118636,500.0
0.9,-0.000712410679155441,0.00013740824843842806,500.0
1.0,4.1782340158253967e-13,2.636742644638594e-13,500.0
