x2-x1,corr
1,1.2358826052513452
2,0.579226546764519
3,0.4731663222107756
4,0.34405676608164315
5,0.3080109976940649
6,0.21965371412856785
7,0.18936077951171373
8,0.16558137638726877
9,0.1456697332296175
10,0.11615312022750254
11,0.11883543207355865
12,0.0987262150628882
13,0.08669816528149525
14,0.08669939851856955
15,0.0911197209783638
16,0.09051333631146924
17,0.09569573082423762
18,0.07584896277168042
19,0.0840988710545922
20,0.06801403205940262
21,0.06856324218118894
22,0.06257721943090958
23,0.058342877395598604
24,0.06300604943519929
25,0.055183588958887135
26,0.05426865291682551
27,0.053612404677818463
28,0.05650696130786315
29,0.055700894425848066
30,0.05504435106723765
31,0.053095691222276545
32,0.04985383195531167
10,0.11102515351522689
11,0.09938545561900114
12,0.08704797176202947
13,0.0912323942946351
14,0.09148432893929989
15,0.09374637520749012
16,0.09723856157445
17,0.07904148610799877
18,0.0724784858327342
19,0.06164547420046412
20,0.060136870807163546
21,0.05849604472261203
22,0.05483176147860471
23,0.05871317185683303
24,0.05139206814992069
25,0.049012126551064995
26,0.04588674175298799
27,0.04813171801539177
28,0.04631100169415493
29,0.048552835240401604
30,0.04998084567966904
31,0.04499041488988735
32,0.04684728050036435
10,0.1198981956357256
11,0.10791316143607864
12,0.10615195434177652
13,0.11201569855503796
14,0.10515628690248763
15,0.11343036658222236
16,0.08511331403193224
17,0.09028373666414835
18,0.07736216458610821
19,0.07405995571666744
20,0.06446406474427918
21,0.06509519069744003
22,0.06516298772897805
23,0.06178162517421404
24,0.05646358115281483
25,0.05476528443359697
26,0.05296540111329228
27,0.04960262618285673
28,0.05142516080297335
29,0.04912443397953184
30,0.04835103236393319
31,0.04556179132543738
32,0.050301497885490584
10,0.1123685232794934
11,0.1079421714538611
12,0.10848000250725015
13,0.09875614206197059
14,0.09336342792432811
15,0.0810026570562674
16,0.08152362814067256
17,0.07512212931128624
18,0.06994213166148672
19,0.06832916178297375
20,0.0643215085792987
21,0.06627726921910833
22,0.05728711418983586
23,0.05090716458063258
24,0.047648128935921345
25,0.04668983478462161
26,0.04918589742175142
27,0.04839998003947525
28,0.045694710385982766
29,0.042362449989311574
30,0.04395162434705106
31,0.04651513718696032
32,0.0467205137860268
10,0.12846484468436883
11,0.13129981147117825
12,0.11718691766367546
13,0.1204392910410151
14,0.09473029156420543
15,0.09911958769596177
16,0.08729657655599489
17,0.08382219315667598
18,0.0777059845861916
19,0.07481101032427959
20,0.07480158445722633
21,0.06755326244218753
22,0.05827647879095419
23,0.055648324260231315
24,0.05547959344722531
25,0.055542122725694074
26,0.05523061737460591
27,0.05310066832850116
28,0.04849535393699113
29,0.050826587525203804
30,0.05334739669643412
31,0.053840104322298944
32,0.051023027058872995
10,0.14238807940461415
11,0.14404335491703005
12,0.12955778600223347
13,0.11104260861844427
14,0.10358359642220875
15,0.09690655070683764
16,0.08415519994923164
17,0.08688052316237363
18,0.08057513493549492
19,0.08298393758962769
20,0.0667758462225343
21,0.059669582752858934
22,0.05704727433250767
23,0.049713776357407306
24,0.05138838597775587
25,0.050974855995489426
26,0.04797193707276309
27,0.05010182443910821
28,0.046372500487991096
29,0.05091145065862259
30,0.053520872502234924
31,0.05085401130059413
32,0.051373021502931895
10,0.13062571232693654
11,0.12685890409374811
12,0.10127570469227515
13,0.09899594116085363
14,0.08655758805566856
15,0.08186289381281575
16,0.07955812962999373
17,0.07424033159324357
18,0.06911109913050612
19,0.061171709110377545
20,0.05481123393713123
21,0.05457430531929674
22,0.04893901892451244
23,0.05003759710212397
24,0.04591575926636206
25,0.04547882159699351
26,0.04359355655820595
27,0.04147132698259976
28,0.044053286734095566
29,0.04540263433412092
30,0.043290335768688404
31,0.04391645902503723
32,0.04256166530558035
10,0.1272495468117079
11,0.11385572637125238
12,0.0990098714679088
13,0.0956256401015595
14,0.0833518219311865
15,0.08682629945651855
16,0.07723085027716016
17,0.07933624215068083
18,0.06445027302038735
19,0.05918025430834613
20,0.05295253125001189
21,0.047652127717627286
22,0.050411542001008766
23,0.04975304121033842
24,0.04577852536914864
25,0.04702295160608588
