x2-x1,corr
1,2.750288643186606
2,1.7362977578430872
3,1.4637806339571098
4,1.2273228124861353
5,1.114993030500505
6,0.9769477461724319
7,0.8823443241337108
8,0.8130508328983659
9,0.7502828251925642
10,0.7037310042759642
11,0.6711091213059172
12,0.6370222233682729
13,0.6287474874481693
14,0.6154327658853266
15,0.6191319512881851
16,0.6150885793526734
10,0.7082542321668319
11,0.6724066928001114
12,0.6495496713912233
13,0.6361975750893748
14,0.6258592794445685
15,0.6230787406932972
16,0.6313982743529882
10,0.7145664862187908
11,0.6927457339093875
12,0.6659759666675694
13,0.6562510032818265
14,0.645924146736699
15,0.6564936838130135
16,0.6459630332300199
10,0.7300578118913051
11,0.7026601475127646
12,0.6799496193766298
13,0.6699068036832726
14,0.6673567439461564
15,0.6591291951342108
16,0.6578280454420191
10,0.7342141718588013
11,0.713189997235955
12,0.6897503029524816
13,0.6881573614330388
14,0.6656204949111817
15,0.6657523409965114
16,0.6327307287809032
10,0.7478039375258818
11,0.722627550209163
12,0.7061962347028268
13,0.6852895758064972
14,0.6729506557905697
15,0.6423915883423282
16,0.6357173021035015
10,0.7600141430396463
11,0.7437631147332716
12,0.7026364098930403
13,0.6897437323293335
14,0.6448568781010596
15,0.6397681486908596
16,0.6408698058135133
10,0.7475750816765554
11,0.7088487941026679
12,0.6838276954374316
13,0.6422851370718328
14,0.6263008997725632
15,0.6289779793790994
16,0.6230906247642587
10,0.7497671819048284
11,0.7246208450377436
12,0.6668819101600688
13,0.6510059971317123
14,0.6439554360910431
15,0.6376782464008484
16,0.6324557831237455
10,0.7377967941683058
11,0.6814570496623708
12,0.6519323477720005
13,0.6443871627808612
14,0.6258087855395901
15,0.6240059619102256
16,0.6235993360219071
10,0.7059108822321573
11,0.6747998510995771
12,0.6580471087687059
13,0.6408008507950756
14,0.6287276630863112
15,0.6296125799717075
16,0.6164927366377433
10,0.7025142607501793
11,0.6854008763250427
12,0.6519669743925559
13,0.6426894651173511
14,0.6284511500672112
15,0.6181382995533761
16,0.6061472562059385
10,0.7034808889569354
11,0.67080558179151
12,0.6503066780362841
13,0.6392370938012629
14,0.6157890845605987
15,0.6059236361185033
16,0.590426475178159
10,0.70781726599379
11,0.6852198166652798
12,0.6591596401441921
13,0.6389589314236405
14,0.6167277958253069
15,0.6007264002960583
16,0.6087475790525346
10,0.7172807116049665
11,0.6910661665469477
12,0.656552256508737
13,0.6360515251475563
14,0.6076946619711412
15,0.617749243250469
16,0.6135746723385412
10,0.7286156886106657
11,0.6949609620645308
12,0.6584313948474428
13,0.6312728731379925
14,0.6287753377152475
15,0.6266907275823512
16,0.6039275252588229
10,0.7204702746733487
11,0.6864469657849083
12,0.6481367946908888
13,0.6455390793417581
14,0.6307707299444132
15,0.6102313127741613
10,0.7239164736424409
11,0.687711957689112
12,0.6722312801654355
13,0.6599681468096421
14,0.6292440194477686
10,0.7189687420695161
11,0.7019626975610184
12,0.6733590371947278
13,0.6448513951429214
10,0.7455954942988918
11,0.7143316481723017
12,0.6668595171242866
10,0.7155996000120749
11,0.6688817200429007
10,0.6961717612469149
