Dimerization,O^z
0.1,0.2563990329671112
0.12,0.24159407159005786
0.14,0.22561962794435236
0.16,0.20582556757463952
0.18,0.18281789055370026
0.2,0.15721435608324538
0.22,0.12734725971427377
0.24,0.10204958344235629
0.26,0.07826414455221205
0.28,0.05589640760097387
0.3,0.03821767060156649
0.32,0.024469685093341347
0.34,0.014918832660783695
0.36,0.008461010922728824
0.38,0.004771486197014832
0.4,0.0024111296894640316
0.42,0.0012930741726776627
0.44,0.0007477176349405937
0.46,0.0003076534340965757
0.48,0.00017756617730099188
0.5,5.9585493861849866e-05
0.52,3.124507391466604e-05
0.54,4.53244040660317e-06
0.56,4.624104520833802e-06
0.58,-1.1738400731167524e-06
0.6,-7.907411167592299e-06
