Dimerization,O^z,error
0.1,0.2683699553916426,0.00021523479790152585
0.12,0.2576710584182704,0.0002269481485840282
0.14,0.24490918157915764,0.000239546202413314
0.16,0.22940821511324247,0.00025142534482707607
0.18,0.21245648255980412,0.00026072072409162865
0.2,0.19328381427524197,0.0002671491476588076
0.22,0.17287628119470227,0.0002688949820888759
0.24,0.15157392969918104,0.00026538379011146454
0.26,0.13014497995065097,0.0002575671615795686
0.28,0.10868234275588257,0.00024245208815568944
0.3,0.08888780269170533,0.00022288020656110368
0.32,0.07025700623750776,0.00019820645303759106
0.34,0.05453018842744192,0.00017345007851563593
0.36,0.04119131639808397,0.0001479575864272959
0.38,0.030387034002021734,0.0001225008616829122
0.4,0.02210427986585196,0.00010062968740532758
0.42,0.0157580191519634,8.04946416895912e-05
0.44,0.010947952388098177,6.316694969193757e-05
0.46,0.007474798211797781,4.833961806700027e-05
0.48,0.005110967630070475,3.6287624407961866e-05
0.5,0.0033284618513796517,2.696502261867841e-05
0.52,0.002148665164260723,2.011624484975041e-05
0.54,0.001322297006055828,1.3411051863309407e-05
0.56,0.0008284817794071674,9.390436384053846e-06
0.58,0.000514086557473278,7.463405027108738e-06
0.6,0.0002917536738437103,5.342546080740735e-06
