Jdis,ZL,error
0.9,-0.5149296662421605,0.030868042071769512
0.95,-0.41968239149302794,0.034441608063737875
1.0,-0.35490996605559316,0.034483944125714615
1.05,-0.3064387401269715,0.033898942616508394
1.1,-0.25085321768475066,0.03430811302162744
1.15,-0.2236346978966431,0.032266937251408404
1.2,-0.20121097437615632,0.03210469405246973
