Jdis,O^z,error,N
0.7,-0.2159255153294849,0.000543884877488415,1000.0
0.75,-0.20783719814176996,0.000566042137966652,1000.0
0.8,-0.19939295134184687,0.0005762976948943884,1000.0
0.85,-0.18872395924286908,0.0006021023743083296,1000.0
0.9,-0.18111151770217074,0.0006109783695774415,1000.0
0.95,-0.17152992848189452,0.0006401561950234021,1000.0
1.0,-0.16450150667930413,0.0006332111929106898,1000.0
1.1,-0.1485995913960205,0.0006548604029229769,1000.0
1.2,-0.13485408323243467,0.0006609777951868053,1000.0
1.3,-0.12210512442131737,0.0006713950137592272,1000.0
1.4,-0.10945457749392042,0.000669920796203166,1000.0
1.5,-0.0980798320963837,0.0006735388435402333,1000.0
