Dimerization,O^z,error,N
0.0,-0.17316259451513008,0.0,1000.0
0.05,-0.17490453678648754,0.0,1000.0
0.1,-0.17508172363255117,0.0,1000.0
0.15,-0.17497532366185498,0.0,1000.0
0.2,-0.1733559691119917,0.0,1000.0
0.25,-0.17152992848189452,0.0,1000.0
0.3,-0.16880432937769477,0.0,1000.0
0.35,-0.16004255828457553,0.0,1000.0
0.4,-0.14487052795298733,0.0,1000.0
0.45,-0.12815547254400467,0.0,1000.0
0.5,-0.10521443533565451,0.0,1000.0
0.55,-0.07955137566829495,0.0,1000.0
0.6,-0.053239654629597954,0.0,1000.0
0.65,-0.03126415512796899,0.0,1000.0
0.7,-0.014459704587275003,0.0,1000.0
