Dimerization,ZL,error,N
0.0,0.0213745471588597,0.02583337371947157,100.0
0.05,0.024436002608674238,0.02541102806719538,100.0
0.1,0.060277515313549024,0.024999561040515882,100.0
0.15,0.07087041092573204,0.02777447481225625,100.0
0.2,0.1277426031931816,0.02790719382557915,100.0
0.25,0.11492352360261526,0.03313099580514741,100.0
0.3,0.2083815651895757,0.030689452682520147,100.0
0.35,0.2512492841162991,0.03223742839736203,100.0
0.4,0.30840336298781357,0.03366029138212424,100.0
0.45,0.3794718309268471,0.031734227039231594,100.0
0.5,0.4637575676039817,0.029912609061740352,100.0
0.55,0.5133066860823405,0.027251128911615442,100.0
0.6,0.5226336796718872,0.03354988400103629,100.0
0.65,0.6018044130706581,0.027954637176080814,100.0
0.7,0.6264386183791606,0.029676043007247754,100.0
0.75,0.7158209025557603,0.021969624871247213,100.0
0.8,0.7309904634681353,0.02695459641169229,100.0
0.85,0.7645934779040896,0.026182075325947917,100.0
0.9,0.8518123894209169,0.0065388982674573996,100.0
0.95,0.8580770737603661,0.015120859699495068,100.0
1.0,0.9022252483939438,7.837070566226551e-13,100.0
