Dimerization,O^z,error,N
0.05,-0.03834685423396814,0.0002579406780686393,2999.0
0.1,-0.03847406949572596,0.00025777445184539666,3000.0
0.15,-0.03750698493196261,0.0002567984562167738,3000.0
0.2,-0.036015850108024015,0.0002549105390612103,3000.0
0.25,-0.03392430422900994,0.000248927349522641,3000.0
0.3,-0.03167988842833936,0.0002426100457578003,3000.0
0.35,-0.029818241307134646,0.00023736405776952815,3000.0
0.4,-0.027678653151687476,0.00022903439024795887,3000.0
0.45,-0.024299466886369078,0.00021661161604748678,3000.0
0.5,-0.020208582926550596,0.00020344949380321964,3000.0
