Jdis,ZL,error,N
0.7,-0.09351852006308162,0.0016644551898688795,1000.0
0.75,-0.09015921907513097,0.0017202168335301562,1000.0
0.8,-0.08678639141638694,0.0017857957421426802,1000.0
0.85,-0.08286588430679426,0.0019262211781910475,1000.0
0.9,-0.08033824969831142,0.0019842343559030775,1000.0
0.95,-0.07670113795625619,0.002034171202794404,1000.0
1.0,-0.0744373948255096,0.002096910291654104,1000.0
1.1,-0.0678722422805899,0.0022105898409932935,1000.0
1.2,-0.061066793676147604,0.002313828874964195,1000.0
1.3,-0.05736168267184857,0.002371157138073635,1000.0
1.4,-0.05118743631710158,0.0023915884751551913,1000.0
1.5,-0.045805937185262977,0.002449930886484175,1000.0
