Dimerization,O^z,error,N
0.05,-0.04111498546277095,0.0002630770858677447,3000.0
0.1,-0.04023812534374248,0.00026519419539921033,3000.0
0.15,-0.039502607394404955,0.00026095809437140684,3000.0
0.2,-0.03777778782207969,0.00026108956511530063,3000.0
0.25,-0.03612735924702256,0.00025080924133450626,3000.0
0.3,-0.033411069833646265,0.00025254388065017646,3000.0
0.35,-0.03176971878865054,0.00023935189562499903,3000.0
0.4,-0.028774058783182913,0.00022983789928020587,3000.0
0.45,-0.02527123502514659,0.00021284056274553276,3000.0
0.5,-0.021061071527756416,0.00019596294754884193,3000.0
