Dimerization,ZL
0.0,0.3679682556686333
0.05,0.2552474528195316
0.1,0.1885965631909096
0.15,0.2233547675371271
0.2,0.06418413492743667
0.25,-0.007088857383797218
0.3,-0.1281963524192676
0.35,-0.1953252567217775
0.4,-0.2375080927836967
0.45,-0.3008236934184756
0.5,-0.3190254564551972
0.55,-0.1777634795322367
0.6,-0.0962666037564819
0.65,0.053383670956009786
0.7,0.1551033208222652
0.75,0.2622264768525009
0.8,0.3319280042843906
0.85,0.39758677143588395
0.9,0.4529286945613379
0.95,0.4989387637413698
1.0,0.5368248812464702
