Dimerization,O^z,error,N
0.0,-0.1400517559129853,0.0,1000.0
0.05,-0.1419045480569863,0.0,1000.0
0.1,-0.143212422833186,0.0,1000.0
0.15,-0.14400331794212265,0.0,1000.0
0.2,-0.14341118343543022,0.0,1000.0
0.25,-0.1423875250118073,0.0,1000.0
0.3,-0.1376172477084313,0.0,1000.0
0.35,-0.12931070079747806,0.0,1000.0
0.4,-0.11522811832670804,0.0,1000.0
0.45,-0.09714488127842096,0.0,1000.0
0.5,-0.07458993357756179,0.0,1000.0
0.55,-0.05257390133093873,0.0,1000.0
0.6,-0.03257394936977807,0.0,1000.0
0.65,-0.016613307537525,0.0,1000.0
0.7,-0.006408232079468827,0.0,1000.0
