Dimerization,O^z,error,N
0.0,-0.23200045416759768,0.0,1000.0
0.05,-0.2302375583580452,0.0,1000.0
0.1,-0.2302294267241082,0.0,1000.0
0.15,-0.2307793934483907,0.0,1000.0
0.2,-0.23008954462951306,0.0,1000.0
0.25,-0.2271932538837422,0.0,1000.0
0.3,-0.22383575408045434,0.0,1000.0
0.35,-0.21331733788991067,0.0,1000.0
0.4,-0.20176736390540242,0.0,1000.0
0.45,-0.18325135111416946,0.0,1000.0
0.5,-0.16017763832117457,0.0,1000.0
0.55,-0.1318043938700227,0.0,1000.0
0.6,-0.10082961094891989,0.0,1000.0
0.65,-0.07023240514282801,0.0,1000.0
0.7,-0.041481723567334434,0.0,1000.0
