Jdis,ZL,error,N
0.0,0.5368248812464562,0.0,1.0
0.5,0.5368248812464462,6.504199225509663e-16,500.0
1.0,0.5368248812464471,6.3332468057211915e-15,500.0
1.5,0.5368248812462205,1.6097882780952972e-13,500.0
2.0,0.5368248812480243,4.014299144890588e-12,500.0
2.5,0.5368248809034747,2.6289122595202087e-10,500.0
3.0,0.5368248760536852,1.0556422765136865e-08,500.0
3.5,0.5368154100470309,6.2365549808658035e-06,500.0
4.0,0.5368193132847486,3.6878464598291167e-06,493.0
4.5,0.5366748950892459,7.073136867536842e-05,485.0
5.0,0.5331356318876493,0.002331100102159136,466.0
5.5,0.5351167536400981,0.0010381962549900034,451.0
6.0,0.5339637112262208,0.002050257253390008,423.0
