Dimerization,ZL,error,N
0.0,0.012392055839952489,0.0009048998208488025,6999.0
0.05,0.011789018982918682,0.0008986269545356574,6999.0
0.1,0.00817026579311606,0.0009159972653240623,6999.0
0.15,0.006535481261259734,0.0009431043570300152,7000.0
0.2,0.00396173719906959,0.0009932194809961924,7000.0
0.25,0.001370589339839266,0.0010035786637809319,7000.0
0.3,-0.0006410107617016949,0.0010625296948978335,6999.0
0.35,-0.0013719797625117698,0.0011176248908873602,7000.0
0.4,0.0012476941640348273,0.001230786935161314,7000.0
0.45,0.006844321134887374,0.0013463837091185215,7000.0
0.5,0.016804565305305774,0.0014902392632297934,6998.0
