Dimerization,O^z,error
0.1,0.08734673395457343,0.000556531837561027
0.12,0.08248740565250456,0.0005522903520618816
0.14,0.07612683431435115,0.0005387551466301233
0.16,0.06869302638225099,0.0005155700371877656
0.18,0.06049631009036563,0.0004957852026272129
0.2,0.052469090203744705,0.0004631687597024008
0.22,0.0474187518366187,0.00044506188456764647
0.24,0.040024598909274255,0.00041092547786168916
0.26,0.033485944668816145,0.0003781959187999407
0.28,0.028027301015436795,0.00034754798528766187
0.3,0.02250195042378803,0.0003125898604062334
0.32,0.017569874955990387,0.0002720757363642818
0.34,0.013794482787869123,0.00024021521695452428
0.36,0.010967618762077094,0.00021210655210910883
0.38,0.007895937873096254,0.00017302597752028847
0.4,0.005551719778293299,0.00013759855460435233
0.42,0.00410664562281071,0.00011400933178203666
0.44,0.002689780403355553,8.713801752172157e-05
0.46,0.001906108537363671,7.843330370482854e-05
0.48,0.001386131336614933,6.291264625686063e-05
0.5,0.0007557515359513307,5.339624409001412e-05
0.52,0.0007354589402710389,5.3362180384829396e-05
0.54,0.0005067740195376473,3.8764545434081584e-05
0.56,0.00029327342962042835,3.478310273819119e-05
0.58,0.00023561784256008938,3.169785315539712e-05
0.6,8.149534343907466e-05,8.828920021620742e-06
