Jdis,O^z,error,N
0.0,-0.38048390479565586,0.009179023214169713,1.0
0.5,-0.2930157781684994,0.0008896104888139936,500.0
1.0,-0.19199108889172395,0.0012914024644584937,500.0
1.5,-0.12150958274009041,0.0013672351761919873,500.0
2.0,-0.08559077079274396,0.0013357919185278178,500.0
2.5,-0.060224927452230424,0.0012713358075551158,500.0
3.0,-0.043740200172255134,0.001181336243097952,500.0
3.5,-0.03301599589857531,0.0011568352906755526,500.0
4.0,-0.02572044523155376,0.0011752023205761223,499.0
4.5,-0.018136621607295643,0.001085684619996462,495.0
5.0,-0.014132607818334952,0.0010596656762785072,492.0
5.5,-0.015864679528555845,0.0009418045402070659,482.0
6.0,-0.013791559942020293,0.0010569273422947867,462.0
