Dimerization,ZL,error
0.0,-0.863026718390991,0.0
0.05,-0.8645878371742606,0.0
0.1,-0.8519288875503699,0.0
0.15,-0.7767624304730238,0.0
0.2,-0.6129132264694576,0.0
0.25,0.4182033313172167,0.0
0.3,0.6116898543756871,0.0
0.35,0.720348326635647,0.0
0.4,0.7699853886384109,0.0
0.45,0.7822184800589076,0.0
0.5,0.820375706343125,0.0
0.55,0.8289809264631027,0.0
0.6,0.8531434975968337,0.0
0.65,0.8656995533720022,0.0
0.7,0.8752731343178575,0.0
0.75,0.8829003798406232,0.0
0.8,0.8861398432964922,0.0
0.85,0.8919838025157976,0.0
0.9,0.8966587494544247,0.0
0.95,0.8994674082094201,0.0
1.0,0.9022252483954162,0.0
