Dimerization,O^z,error,N
0.0,-0.17897739734161655,0.0,1000.0
0.05,-0.1786536678066837,0.0,1000.0
0.1,-0.18108788649845745,0.0,1000.0
0.15,-0.18341420609093326,0.0,1000.0
0.2,-0.18243406444702961,0.0,1000.0
0.25,-0.18111151770217074,0.0,1000.0
0.3,-0.17925973207249327,0.0,1000.0
0.35,-0.17059954740867053,0.0,1000.0
0.4,-0.1553653997533335,0.0,1000.0
0.45,-0.13525314900568625,0.0,1000.0
0.5,-0.1111006216408905,0.0,1000.0
0.55,-0.08308432817502437,0.0,1000.0
0.6,-0.05532733952481761,0.0,1000.0
0.65,-0.03217083125807585,0.0,1000.0
0.7,-0.014339890526222277,0.0,1000.0
