Dimerization,O^z,error,N
0.0,-0.1474404049006253,0.0,1000.0
0.05,-0.14881763995008557,0.0,1000.0
0.1,-0.14924542678872488,0.0,1000.0
0.15,-0.15073274547018475,0.0,1000.0
0.2,-0.15202553617375078,0.0,1000.0
0.25,-0.1510974509369538,0.0,1000.0
0.3,-0.1478555834053385,0.0,1000.0
0.35,-0.1396402177684863,0.0,1000.0
0.4,-0.1223305960599413,0.0,1000.0
0.45,-0.10477806883888365,0.0,1000.0
0.5,-0.08024533823912339,0.0,1000.0
0.55,-0.056072802394520296,0.0,1000.0
0.6,-0.0330441456785587,0.0,1000.0
0.65,-0.0166141812466298,0.0,1000.0
0.7,-0.00621186017686625,0.0,1000.0
