Dimerization,ZL,error,N
0.0,0.012725036449225638,0.0017705254572880492,2000.0
0.05,0.015389225604736465,0.0017774551954762025,2000.0
0.1,0.011767147424811737,0.0018373983183292905,2000.0
0.15,0.009383131483232745,0.0018499837866583094,2000.0
0.2,0.006904118175990036,0.0019060946409511302,2000.0
0.25,0.0021094362362528447,0.0019668625671846155,2000.0
0.3,-0.0011104121268919556,0.0020441788583486376,2000.0
0.35,-0.002129683219350692,0.0021900172731816802,2000.0
0.4,-0.00408945586072084,0.002407338307650152,2000.0
0.45,0.003933225077129605,0.0026290645845265816,2000.0
0.5,0.0159642282558054,0.002899735593357185,2000.0
