Dimerization,ZL,error,N
0.0,0.014636343957438064,0.0011277966347416769,5000.0
0.05,0.016277991304241908,0.001115711491407681,5000.0
0.1,0.01274672256337309,0.0011319859783259785,5000.0
0.15,0.009694506935870378,0.0011548695436594764,5000.0
0.2,0.00610902082626248,0.0011882622101282649,5000.0
0.25,0.0016876787439076867,0.0012397687228224172,5000.0
0.3,-0.000514616051455354,0.001289012145495217,5000.0
0.35,-0.0034187311382484994,0.0013550957912266096,5000.0
0.4,-0.0032784991627247493,0.0014800112935991101,5000.0
0.45,0.002056978255746967,0.0016353597525155424,5000.0
0.5,0.013612645196700234,0.0018165984579458392,5000.0
