Dimerization,ZL,error,N
0.0,0.013093664308387199,0.0009679624916384195,5999.0
0.05,0.01250854247303457,0.0009812961759565041,5998.0
0.1,0.010035505005034426,0.0010027713573206147,5999.0
0.15,0.008961391718649025,0.00104399334773114,6000.0
0.2,0.004432115483180274,0.0010661482018198083,6000.0
0.25,0.00020146423055817395,0.001095692598658293,6000.0
0.3,-0.0010741559090095645,0.0011595451890266085,6000.0
0.35,-0.002504404169821376,0.0012086151584604701,6000.0
0.4,3.45361335354143e-06,0.0013009471305166277,6000.0
0.45,0.0046246495145329265,0.0014644110240770848,6000.0
0.5,0.01437030356811295,0.0016225432144916466,5999.0
