Jdis,O^z,error,N
0.7,-0.14454396576482786,0.000632966428362878,1000.0
0.75,-0.13423508309125434,0.0006314911467806169,1000.0
0.8,-0.12627690457703064,0.0006267585780959943,1000.0
0.85,-0.11844251701430551,0.0006247594684817856,1000.0
0.9,-0.1111006216408905,0.0006333284881119655,1000.0
0.95,-0.10521443533565451,0.0006226415293474403,1000.0
1.0,-0.09732409480920584,0.0006152903746081381,1000.0
1.1,-0.08772229415151118,0.0006085048704391161,1000.0
1.2,-0.07758799218585385,0.0005906112160804667,1000.0
1.3,-0.07028578969464215,0.0005901097497126172,1000.0
1.4,-0.0625672026682149,0.0005799970675346427,1000.0
1.5,-0.05729830552555345,0.0005650194722413783,1000.0
