Jdis,O^z,error,N
0.7,-0.11217281398530633,0.0005080983253493732,1000.0
0.75,-0.1023846331131259,0.0004973944878341253,1000.0
0.8,-0.09394477660250457,0.0004965743525463822,1000.0
0.85,-0.08726412887776436,0.000484244414438388,1000.0
0.9,-0.08024533823912339,0.00047716318943834225,1000.0
0.95,-0.07458993357756179,0.0004715158621628261,1000.0
1.0,-0.07058121693412989,0.00045572940099936575,1000.0
1.1,-0.06081867847619149,0.000444305678420529,1000.0
1.2,-0.05281171016929779,0.0004257358634368507,1000.0
1.3,-0.04661015787638706,0.00041574882318653697,1000.0
1.4,-0.04056924423389113,0.0003987922988364962,1000.0
1.5,-0.03683562073148346,0.000392457073524796,1000.0
