Dimerization,ZL,error,N
0.0,0.010813000752730112,0.0011699160183318283,4000.0
0.05,0.012507171568568821,0.0011585908705115634,4000.0
0.1,0.008728367640602818,0.0011929774119728877,4000.0
0.15,0.006730099758839515,0.001219580948165562,4000.0
0.2,0.004493744838199876,0.0012501227535850696,3999.0
0.25,0.002111006052934327,0.0013296408726326532,4000.0
0.3,0.002524089913244106,0.0013848000518663487,4000.0
0.35,0.0013170056466107144,0.0015002343689401805,4000.0
0.4,0.0038135729130084205,0.001622591400796026,4000.0
0.45,0.00831494227803214,0.001777808678233374,4000.0
0.5,0.018696662181944823,0.0020072894537497186,4000.0
