Dimerization,O^z,error,N
0.1,-0.018183139917284052,0.0005599524551204072,500.0
0.2,-0.017120591928232762,0.0005291798100142943,500.0
0.3,-0.014916116003981104,0.00048494378787496763,500.0
0.4,-0.011858745355192216,0.0004903040837428794,500.0
0.5,-0.010931296605577666,0.0005177488004993518,499.0
0.6,-0.006791713124005844,0.00039840039331514893,499.0
0.7,-0.005201523862377278,0.0003672169869001034,500.0
0.8,-0.0029981165901323123,0.000250315260315533,500.0
0.9,-0.0006349571694343495,0.00013745704577609915,498.0
1.0,-2.5250775213343154e-12,2.6764789104209095e-12,500.0
