Jdis,O^z,error,N
0.7,-0.04026940912441051,0.0004410428104086629,1000.0
0.75,-0.0411023368155044,0.00047001557355311354,1000.0
0.8,-0.04106522165382229,0.0004845954221799606,1000.0
0.85,-0.041133946785606085,0.0004925888964229844,1000.0
0.9,-0.040742941153951835,0.0005196441679114152,1000.0
0.95,-0.041481723567334434,0.0005358325174543825,1000.0
1.0,-0.04088769344747795,0.0005358097275592089,1000.0
1.1,-0.04084379136014315,0.0005579566400543063,1000.0
1.2,-0.04039485355105438,0.0005921839538240196,1000.0
1.3,-0.039081676556753,0.0006045651322711141,1000.0
1.4,-0.03961787414135878,0.0006187654404855752,1000.0
1.5,-0.038531243323876516,0.0006112765079763543,1000.0
