Dimerization,O^z,error,N
0.0,-0.16385869861304997,0.0,1000.0
0.05,-0.16561598938890373,0.0,1000.0
0.1,-0.16932356530634476,0.0,1000.0
0.15,-0.17605527661530115,0.0,1000.0
0.2,-0.1834519542116284,0.0,1000.0
0.25,-0.18938401750463038,0.0,1000.0
0.3,-0.18987114972585042,0.0,1000.0
0.35,-0.1851377595331302,0.0,1000.0
0.4,-0.17179675226505653,0.0,1000.0
0.45,-0.14444986199212748,0.0,1000.0
0.5,-0.11217281398530633,0.0,1000.0
0.55,-0.07412567456043753,0.0,1000.0
0.6,-0.03977379429777893,0.0,1000.0
0.65,-0.016126843454214657,0.0,1000.0
0.7,-0.005349914719784162,0.0,1000.0
