Dimerization,O^z,error,N
0.1,-0.2095636715324998,0.0072560930393664545,1.0
0.2,-0.28632575549770223,0.007890266424090825,1.0
0.3,-0.32688705145007524,0.006693567995777204,1.0
0.4,-0.34828386862274985,0.00831054473501756,1.0
0.5,-0.29092421864484896,0.006577980360842921,1.0
0.6,-0.021790319042854552,0.003157802226847313,1.0
0.7,-0.0018335055963811136,0.0003342844023953708,1.0
0.8,3.6960946250759394e-05,0.00025090178860630086,1.0
0.9,-0.00048670400143267827,0.0006796254190957399,1.0
1.0,-1.1499379960152299e-25,2.048433832429763e-26,1.0
