Jdis,ZL,error,N
0.7,-0.153297138378362,0.0042300589448276745,1000.0
0.75,-0.14158444936813802,0.004268603202496941,1000.0
0.8,-0.13007461353097127,0.004293981921730557,1000.0
0.85,-0.11525688770017015,0.004206517708686471,1000.0
0.9,-0.10704716592720726,0.004157480157150517,1000.0
0.95,-0.09620238099774203,0.004101575214377255,1000.0
1.0,-0.08828957344116178,0.004033680800573838,1000.0
1.1,-0.07409154481388845,0.0038346993016349215,1000.0
1.2,-0.062296917494629865,0.0038221625451072857,1000.0
1.3,-0.04252904276742899,0.0036572994228566864,1000.0
1.4,-0.03625020005189634,0.0035892804746498206,1000.0
1.5,-0.024100317654307358,0.0035274856394854693,1000.0
