Jdis,ZL,error,N
0.7,-0.044995318425430184,0.004046513435362381,1000.0
0.75,-0.04134008544616293,0.004102289233307074,1000.0
0.8,-0.03993324739707533,0.004023806185222943,1000.0
0.85,-0.03884184383418914,0.004037265314162841,1000.0
0.9,-0.03667667363494144,0.004008363719459789,1000.0
0.95,-0.033057245350322735,0.00405557755085246,1000.0
1.0,-0.030617999309388022,0.0038812574602198066,1000.0
1.1,-0.027913921433440486,0.003813639985386951,1000.0
1.2,-0.024443869843147895,0.0037485859535717576,1000.0
1.3,-0.019544916507609103,0.003630254534593478,1000.0
1.4,-0.011949417529840004,0.003476208682220587,1000.0
1.5,-0.01016705387100102,0.003386542642407757,1000.0
