Jdis,O^z,error,N
0.1,0.34631474165204074,0.0001614620802512193,1000.0
0.2,0.3392807713517276,0.00021281278686345929,1000.0
0.3,0.32669653857290076,0.00028879290558581864,1000.0
0.4,0.3072072415413195,0.00037991561894969644,1000.0
0.5,0.28059165263851576,0.0004797871639484872,1000.0
0.6,0.2469287181880615,0.0005842334365107066,1000.0
0.7,0.20980111163631868,0.0006634942458383711,1000.0
0.8,0.17539681306928645,0.0006868268130884758,1000.0
0.9,0.14485330251993392,0.0006825610533086351,1000.0
1.0,0.11711599900862335,0.0006544169711103868,1000.0
1.1,0.09503504689453207,0.0006101674429229939,1000.0
1.2,0.0766167153692399,0.0005673833812216074,1000.0
1.5,0.04276933749636711,0.00044530506286393975,1000.0
1.8,0.024883614405097596,0.00035183713965513677,1000.0
