x2-x1,corr
1,0.5292635544392573
2,0.38645524107794754
3,0.1700126472394874
4,0.16007576230486367
5,0.11167690975937862
6,0.11558856243320431
7,0.057963952834123436
8,0.06532009471017783
9,0.027554794358135397
10,0.02860497653697625
11,0.018497979788841518
12,0.020082852691388157
13,0.011609765798562568
14,0.013543256131934793
15,0.009933531437942253
16,0.008807891994043943
17,0.00696991523789404
18,0.00845530239639567
19,0.005200252356574736
20,0.006124035810086298
21,0.003010613857719881
22,0.0031477049413647425
23,0.005928190774321999
24,0.005281601027649129
25,0.004664990189614823
26,0.005116032302970483
27,0.0034305652420723136
28,0.004888555103346388
29,0.002095568341420544
30,0.0022514353486312454
31,0.003258937352816797
32,0.0031609731747455046
10,0.02882727762882547
11,0.030849761079399674
12,0.017655213030742915
13,0.020374962142621526
14,0.011060482723375653
15,0.010883443590730705
16,0.009774147759525424
17,0.012343321573391164
18,0.005967057834133261
19,0.006741181740497334
20,0.003880450513579521
21,0.004327878449933668
22,0.005940930290516556
23,0.00473792269318776
24,0.004844161199425889
25,0.004697557305854623
26,0.003926352519127286
27,0.004814473142300782
28,0.0034130154920266396
29,0.0038938858211212245
30,0.005078200619286702
31,0.005989151964111914
32,0.003474746115023403
10,0.026844012944963275
11,0.015142036522726205
12,0.01778387098502675
13,0.010205145995156201
14,0.01002653580223141
15,0.009176443975988838
16,0.01085510554113595
17,0.006279453508173334
18,0.006615251177634543
19,0.0036250787831331806
20,0.004042335767080077
21,0.005946686242787193
22,0.004726422328748478
23,0.004881129538492523
24,0.004607155775806284
25,0.0036777597560936465
26,0.004553891629912317
27,0.00266382835178991
28,0.0029696986319971003
29,0.004314920904774036
30,0.004732032595036506
31,0.0027396760919487172
32,0.002985794097306809
10,0.03229311348803849
11,0.03869186825740041
12,0.02235436231098258
13,0.02391958279914953
14,0.019618508532461335
15,0.028346815058080593
16,0.008192035049235323
17,0.008844831486650401
18,0.005612745845967947
19,0.006225725170909016
20,0.006400064728946262
21,0.006318313746223753
22,0.004010625481265887
23,0.004431775604808357
24,0.002430620323998048
25,0.002871601602563706
26,0.0016387332489350573
27,0.0018674109745892237
28,0.002022564002226561
29,0.00241672454819361
30,0.0012723090172559774
31,0.0013145659470287098
32,0.0006817338463766155
10,0.036722937256304475
11,0.020675147362371252
12,0.021720903708716915
13,0.01845875542797394
14,0.021835750792496715
15,0.006894999691655924
16,0.007518609846197311
17,0.004558777554191118
18,0.0051059905706271015
19,0.005212636632657896
20,0.005086085897730724
21,0.0033449666900050835
22,0.0036913642282347986
23,0.0021371252055487587
24,0.0025536293096675516
25,0.0014226002857893286
26,0.0016198446400432353
27,0.001821658149353152
28,0.0020929919161412134
29,0.0011501323651242864
30,0.001184367537234151
31,0.0006489131518874639
32,0.0006206079207955836
10,0.03557632036491046
11,0.039534326066205334
12,0.02614808999444511
13,0.030624161272296405
14,0.012614525238788572
15,0.0140607179493598
16,0.007522064908380855
17,0.008956306619577435
18,0.007964414352045583
19,0.007997858556362852
20,0.004394733743497154
21,0.005114657823380434
22,0.0033817678658201906
23,0.00395942154964064
24,0.0022485694646859756
25,0.002683195232695328
26,0.0023001573950065714
27,0.0030434006708718996
28,0.0013232706406050036
29,0.0013879989928265509
30,0.0006242273727927452
31,0.000501339467039884
32,0.00047042286097866154
10,0.03299036936564712
11,0.023598216305432636
