Dimerization,ZL,error,N
0.0,0.1795488905767863,0.003529225439425197,1000.0
0.05,0.17167743702878183,0.003749146334622941,1000.0
0.1,0.13871162167770063,0.004246389791195096,1000.0
0.15,0.09328350842044571,0.004673943815984257,1000.0
0.2,0.04032549344652476,0.005073743219461208,1000.0
0.25,-0.022021479989745695,0.004989585857993376,1000.0
0.3,-0.08473338273732821,0.004761862900072052,1000.0
0.35,-0.13007461353097127,0.004293981921730557,1000.0
0.4,-0.15908966979551545,0.003912487980053561,1000.0
0.45,-0.15678825026255883,0.0038200320371425435,1000.0
0.5,-0.11951505791731874,0.004465426885965097,1000.0
0.55,-0.05197580466291555,0.00518625730842108,1000.0
0.6,0.05185077939771218,0.00557430925056809,1000.0
0.65,0.16393585228668167,0.005377977994896398,1000.0
0.7,0.2782799481997066,0.004850467353471099,1000.0
