Dimerization,O^z,error,N
0.0,-0.1858159128071509,0.0,1000.0
0.05,-0.18536420947468527,0.0,1000.0
0.1,-0.18667575515372667,0.0,1000.0
0.15,-0.1892424610773645,0.0,1000.0
0.2,-0.1907084485728063,0.0,1000.0
0.25,-0.18872395924286908,0.0,1000.0
0.3,-0.18623108945613065,0.0,1000.0
0.35,-0.17903255319533998,0.0,1000.0
0.4,-0.16570126111664216,0.0,1000.0
0.45,-0.14622006684283978,0.0,1000.0
0.5,-0.11844251701430551,0.0,1000.0
0.55,-0.08850785700098594,0.0,1000.0
0.6,-0.05715269165394509,0.0,1000.0
0.65,-0.03163478448540774,0.0,1000.0
0.7,-0.014016711770764842,0.0,1000.0
