Jdis,ZL,error,N
0.1,0.43682011699748297,0.005291674297742583,1000.0
0.2,0.36408706946320557,0.007871241886381601,1000.0
0.3,0.3263844878273114,0.009803946986184635,1000.0
0.4,0.3127007821183162,0.01038566145435086,1000.0
0.5,0.29823952666715425,0.011070893769822938,1000.0
0.6,0.29236362098307994,0.011305037665381556,1000.0
0.7,0.29251559393154936,0.01131210218058199,1000.0
0.8,0.2909573177953387,0.011412004888879501,1000.0
0.9,0.293789113164895,0.01116204102664892,1000.0
1.0,0.2865460316423007,0.01130405036766654,1000.0
1.1,0.2851209211330858,0.011092341458172613,1000.0
1.2,0.2784108431575752,0.010755583007250713,1000.0
1.5,0.25050332105914636,0.010723409607326359,1000.0
1.8,0.22905121834445558,0.010500771726695618,1000.0
