Dimerization,O^z,error,N
0.1,-0.13482375687215745,0.0006704996951699115,500.0
0.2,-0.1331935151643406,0.0007055975288942257,500.0
0.3,-0.12751178264316232,0.0007145004872193971,500.0
0.4,-0.101224711019084,0.0007044371955276137,500.0
0.5,-0.06752242159063186,0.0006282325203388571,500.0
0.6,-0.029021559169540745,0.00042643889365191805,500.0
0.7,-0.007598227453878184,0.00022575062591411797,500.0
0.8,-0.0005495819890162234,5.149917915587101e-05,500.0
0.9,-3.341709952088271e-07,2.1147356448776642e-07,500.0
1.0,3.9549805751365777e-16,6.185311472062103e-16,500.0
