Dimerization,ZL,error,N
0.0,0.10462389171277035,0.0035642663717094193,1000.0
0.05,0.09149491148552133,0.0037231781954198944,1000.0
0.1,0.08099677268457564,0.0038348170789380123,1000.0
0.15,0.04834102965925022,0.004102582659194623,1000.0
0.2,0.018846256389788877,0.004249690698768283,1000.0
0.25,-0.017129443643774358,0.004287023415662025,1000.0
0.3,-0.046703917478843435,0.004179959761480672,1000.0
0.35,-0.07409154481388845,0.0038346993016349215,1000.0
0.4,-0.08196963011204421,0.003889318686144309,1000.0
0.45,-0.08249299132754473,0.003931733660350599,1000.0
0.5,-0.05769489084560504,0.004379534095050204,1000.0
0.55,-0.003434316213509437,0.005035065602222591,1000.0
0.6,0.06129853913815756,0.005618117144727523,1000.0
0.65,0.1477845693759482,0.005771505933061015,1000.0
0.7,0.24335727816308084,0.005579773891962025,1000.0
