Dimerization,ZL
0.0,-0.4747178463207133
0.05,0.5741863163601173
0.1,0.6358467912467911
0.15,0.7067467963179546
0.2,0.7301887712288064
0.25,0.7237581886405622
0.3,0.7581762734889412
0.35,0.6952763483857152
0.4,0.1955991493705717
0.45,-0.272575726347366
0.5,-0.3941516298606547
0.55,-0.5467560137561429
0.6,-0.6101997835512115
0.65,-0.6695420447137264
0.7,-0.7081422458571874
0.75,-0.73825371813316
0.8,-0.7624938032572928
0.85,-0.7836223347498199
0.9,-0.7985750514935394
0.95,-0.8134214700094243
1.0,-0.8244575975578575
