Jdis,O^z,error,N
0.7,-0.16385204606938378,0.0008337208911507426,1000.0
0.75,-0.1554793963875808,0.0008392532307348853,1000.0
0.8,-0.14929931045406103,0.0008534092900195195,1000.0
0.85,-0.14421901888025246,0.0008592868228330104,1000.0
0.9,-0.13757110476022294,0.0008729817888657935,1000.0
0.95,-0.1318043938700227,0.0008778060482419679,1000.0
1.0,-0.12684995515865702,0.000884066824376824,1000.0
1.1,-0.11513213965353208,0.0008810718090168222,1000.0
1.2,-0.10917040898100368,0.0008864633203478847,1000.0
1.3,-0.09965468337427986,0.0008850746482322731,1000.0
1.4,-0.09203005246596992,0.0008714905788341327,1000.0
1.5,-0.08814860531681445,0.0008850993188228147,1000.0
