Dimerization,O^z,error,N
0.05,-0.04351181340880424,0.0002696893361823688,3000.0
0.1,-0.04327321448260926,0.0002700594729810931,3000.0
0.15,-0.040783646269297646,0.00025941099732490545,3000.0
0.2,-0.04028361724073933,0.00026156854940003594,3000.0
0.25,-0.037962197429727645,0.0002535668925438842,3000.0
0.3,-0.03596230897898884,0.00025202907739993197,3000.0
0.35,-0.032521242809736,0.00023990621776863441,3000.0
0.4,-0.02984420701515641,0.0002322966983332265,3000.0
0.45,-0.02623414047049292,0.00021988606531147845,3000.0
0.5,-0.021992501859071794,0.00020061568508673535,3000.0
