Dimerization,O^z
0.1,0.33316644638368625
0.12,0.32711642910724187
0.14,0.3192334906765663
0.16,0.3094778246335932
0.18,0.29649156619351436
0.2,0.2792659063080651
0.22,0.25445166035852246
0.24,0.21029551758917187
0.26,0.13893653788608568
0.28,0.06370891537657007
0.3,0.022582147679884524
0.32,0.006783714388546832
0.34,0.0020425039145939034
0.36,0.000517283655897967
0.38,0.00022891671281006666
0.4,0.0002102467496008732
0.42,0.0002019570504681921
0.44,2.7336125914104403e-05
0.46,-6.308978964129435e-05
0.48,-4.208758384970376e-05
0.5,-1.0207536534649651e-05
0.52,-5.76530170556032e-06
0.54,1.2034255427969768e-05
0.56,1.1303336418736978e-05
0.58,2.913156354587594e-05
0.6,1.4556303182259586e-05
