Dimerization,O^z,error
0.1,0.3292806776151467,0.00012752884532182856
0.12,0.3229484474242627,0.00013869955130716457
0.14,0.3145910328823514,0.00015092065909962365
0.16,0.304669350571778,0.000165969589510639
0.18,0.2910702601461725,0.0001842195716752538
0.2,0.27367821433394257,0.0002046212132860264
0.22,0.24832446395010083,0.00022540903390320065
0.24,0.20400162332977745,0.0002677030458297955
0.26,0.10849995075890069,0.0003214776735393798
0.28,0.02626935056416602,0.00019617169136828562
0.3,0.004887297199340762,8.274918622048503e-05
0.32,0.0007021599796294879,1.7091807332834756e-05
0.34,0.00013723965018439677,8.168093518100555e-06
0.36,-2.6918053607545332e-05,4.2922150250231765e-06
0.38,-3.3182488253284335e-05,3.388758179113126e-06
0.4,-1.2716880469683553e-05,3.041923334382378e-06
0.42,1.1065513095020112e-05,2.766500283260265e-06
0.44,-3.504558855881196e-07,2.630526074480059e-06
0.46,5.442356619958312e-06,2.5173155731190323e-06
0.48,1.1359902279502399e-05,1.8904359540072084e-06
0.5,1.5279546497719844e-05,1.6815203139080073e-06
0.52,1.7700177248091225e-05,1.749629570228597e-06
0.54,7.958418976837556e-06,1.0292201580989899e-06
0.56,9.346173921004209e-06,1.1226201185892137e-06
0.58,6.337682864059293e-06,9.548086750899314e-07
0.6,2.287614900315372e-06,7.941322242747034e-07
