Dimerization,O^z
0.1,0.3339289752892257
0.12,0.32787971412589384
0.14,0.3209225573620516
0.16,0.31140996156916534
0.18,0.2989650986397047
0.2,0.2831571683000859
0.22,0.25612598526669866
0.24,0.21270174986333037
0.26,0.1438863467050667
0.28,0.06477543474851719
0.3,0.022574155637527384
0.32,0.006735037527605288
0.34,0.0022472212397201432
0.36,0.000794565936152385
0.38,0.00023119246933051056
0.4,0.00031333666143394407
0.42,0.00023378346504945995
0.44,-2.132147932128698e-05
0.46,-6.700500650002689e-05
0.48,3.561441373894784e-05
0.5,7.654063847124417e-05
0.52,-2.5690233164909377e-05
0.54,-3.8910258967960285e-06
0.56,2.551585184831373e-05
0.58,2.3051544383963865e-06
0.6,4.212585858749329e-06
