Dimerization,O^z
0.1,0.3418695713660681
0.12,0.33568038618187046
0.14,0.3278169802272108
0.16,0.31717528676408513
0.18,0.30314178490463517
0.2,0.2838739414048499
0.22,0.25743062531862726
0.24,0.22160408815089017
0.26,0.17753094939393493
0.28,0.1295213678072439
0.3,0.08651424241821473
0.32,0.05375774359705037
0.34,0.03226322467901041
0.36,0.01918993093825585
0.38,0.011482979212376343
0.4,0.006876000859351183
0.42,0.004233219425165665
0.44,0.002577936406162188
0.46,0.001524098037303367
0.48,0.0008542364705193398
0.5,0.00037342727463692715
0.52,0.0001334717052103662
0.54,5.4212260688461366e-05
0.56,-1.4865095690592204e-05
0.58,-5.056147496318996e-05
0.6,-3.190456479547564e-05
